Region,Subregion,Country,Code,Source,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Americas,Caribbean,Anguilla,CJ,NSO,Rate,9.0,0.0,17.1,16.6,8.1,7.9,31.0,30.4,7.5,,,,
,,,,,Count,1,0,2,2,1,1,4,4,1,,,,
,,Antigua and Barbuda,CJ,OAS,Rate,6.4,8.9,6.2,6.2,4.9,3.6,13.2,20.1,18.7,18.5,6.9,,11.2
,,,,,Count,5,7,5,5,4,3,11,17,16,16,6,,10
,,Aruba,PH,WHO-MDB/PAHO,Rate,,,5.3,4.1,2.0,12.0,9.9,5.9,4.9,3.9,3.9,,
,,,,,Count,,,5,4,2,12,10,6,5,4,4,,
,,Bahamas,CJ,CTS/OAS,Rate,24.9,14.2,16.8,15.8,13.6,15.8,18.2,22.8,21.0,24.5,26.1,34.7,29.8
,,,,,Count,74,43,52,50,44,52,61,78,73,87,94,127,111
,,Barbados,CJ,CTS/OAS,Rate,7.5,9.3,9.3,12.2,8.1,10.6,12.7,9.8,9.0,6.8,11.1,9.6,7.4
,,,,,Count,20,25,25,33,22,29,35,27,25,19,31,27,21
,,British Virgin Islands,PH,WHO-MDB/PAHO,Rate,0.0,4.7,4.6,9.0,17.8,,8.4,,,,,,
,,,,,Count,0,1,1,2,4,,2,,,,,,
,,Cayman Islands,PH,WHO-MDB/PAHO,Rate,9.6,4.9,0.0,7.4,12.3,,2.0,3.9,7.6,14.7,,,
,,,,,Count,4,2,0,3,6,,1,2,4,8,,,
,,Cuba,PH,WHO,Rate,,,,,,,,,,,,,4.2
,,,,,Count,,,,,,,,,,,,,477
,,Dominica,CJ,CTS/OAS,Rate,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.9,18.3,21.1,,
,,,,,Count,2,1,9,8,8,8,5,7,7,13,15,,
,,Dominican Republic,CJ,NGO (a)/SES/CTS,Rate,14.0,12.4,14.3,21.0,24.3,25.6,22.6,22.0,24.6,24.0,24.7,24.8,22.1
,,,,,Count,"1,210","1,095","1,279","1,902","2,239","2,394","2,144","2,111","2,394","2,375","2,474","2,513","2,268"
,,Grenada,CJ,CTS/OAS,Rate,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3
,,,,,Count,15,6,14,9,6,11,12,11,16,7,10,4,14
,,Guadeloupe,CJ,National police,Rate,,,,,5.9,5.2,5.4,6.4,7.1,7.9,,,
,,,,,Count,,,,,26,23,24,29,32,36,,,
,,Haiti ,CJ,UN-PKO,Rate,,,,,,,,5.1,5.2,6.1,6.8,9.1,10.2
,,,,,Count,,,,,,,,486,498,598,677,914,"1,033"
,,Jamaica,CJ,CTS/National police/OAS,Rate,34.4,43.7,39.8,36.8,55.2,62.4,49.7,58.5,59.5,61.6,52.6,41.1,39.3
,,,,,Count,887,"1,139","1,045",975,"1,471","1,674","1,340","1,583","1,618","1,682","1,442","1,133","1,087"
,,Martinique,CJ,National police,Rate,,,,,4.8,4.8,5.8,5.8,4.3,2.7,,,
,,,,,Count,,,,,19,19,23,23,17,11,,,
,,Montserrat,PH,WHO-MDB/PAHO,Rate,0.0,0.0,0.0,0.0,0.0,20.9,20.6,,20.4,,,,
,,,,,Count,0,0,0,0,0,1,1,,1,,,,
,,Puerto Rico,CJ,National police,Rate,18.3,19.7,20.6,20.8,21.1,20.5,19.9,19.6,21.6,24.0,26.5,,26.5
,,,,,Count,695,747,781,787,797,771,748,731,807,894,983,,978
,,Saint Kitts and Nevis,CJ,National police/OAS/CTS,Rate,6.6,13.0,10.7,21.0,22.7,16.3,34.1,31.7,45.0,52.2,40.1,64.2,33.6
,,,,,Count,3,6,5,10,11,8,17,16,23,27,21,34,18
,,Saint Lucia,PH,OAS,Rate,14.7,21.4,26.2,22.3,22.6,24.8,25.6,17.0,22.6,22.3,24.8,,21.6
,,,,,Count,23,34,42,36,37,41,43,29,39,39,44,,39
,,Saint Vincent and the Grenadines,CJ,NGO (b)/OAS/CTS,Rate,18.5,11.1,18.5,16.6,25.8,21.1,11.9,33.0,14.7,18.3,22.9,19.2,25.6
,,,,,Count,20,12,20,18,28,23,13,36,16,20,25,21,28
,,Trinidad and Tobago,CJ,OAS/CTS,Rate,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.8,41.6,38.3,35.6,26.4,28.3
,,,,,Count,120,151,171,229,260,386,371,391,547,506,473,352,379
,,Turks and Caicos Islands,PH,WHO-MDB/PAHO,Rate,0.0,0.0,11.3,0.0,0.0,0.0,,,6.8,6.6,,,
,,,,,Count,0,0,2,0,0,0,,,2,2,,,
,,United States Virgin Islands,PH,WHO-MDB/PAHO,Rate,22.1,25.8,37.8,28.5,34.2,32.5,40.0,40.1,42.1,46.9,52.6,,
,,,,,Count,24,28,41,31,37,35,43,43,45,50,56,,
